Subject/Candidate Campaign,,,,3,3,3,1,1,2,2,3,3,3,3,3,,,,,,,,
,Number in Json,,,42,43,44,0,1,58,59,42,43,44,46,47,,,,,,,,
,,Row in Log,,0,0,0,0,0,0,0,0,0,0,15,15,,,,,,,,
,,,Name,3,3,3,1,1,1,1,3,3,3,12,12,,,,,,,,
3,42,0,3,0,303781.0479,326367.4206,2157602.6,2311002.464,423484.4835,294810.8204,0,303781.0479,326367.4206,410622.0903,280448.5749,,,,,,,,
3,43,0,3,303781.0479,0,441150.1816,2068142.831,2191865.65,452224.1791,337778.3542,303781.0479,0,441150.1816,426121.2652,365000.6461,,,,,,,,
3,44,0,3,326367.4206,441150.1816,0,2067689.628,2224112.083,620804.9288,438903.4152,326367.4206,441150.1816,0,499970.5301,335322.3658,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Subject/Candidate Campaign,,,,3,3,3
,,,,,,,,,,,,,,,,,,Number in Json,,,42,43,44
,,,,,,,,,,,,,,,,,,,Row in Log,,0,0,0
,,,,,,,,,,,,,,,,,,,,Name,3,3,3
,,,,,,,,,,,,,,,,,3,42,0,3,0,303781.0479,326367.4206
,,,,,,,,,,,,,,,,,3,43,0,3,303781.0479,0,441150.1816
,,,,,,,,,,,,,,,,,3,44,0,3,326367.4206,441150.1816,0
,,,,,,,,,,,,,,,,,1,0,0,1,2157602.6,2068142.831,2067689.628
,,,,,,,,,,,,,,,,,1,1,0,1,2311002.464,2191865.65,2224112.083
,,,,,,,,,,,,,,,,,2,58,0,1,423484.4835,452224.1791,620804.9288
,,,,,,,,,,,,,,,,,2,59,0,1,294810.8204,337778.3542,438903.4152
,,,,,,,,,,,,,,,,,3,46,15,12,410622.0903,426121.2652,499970.5301
,,,,,,,,,,,,,,,,,3,47,15,12,280448.5749,365000.6461,335322.3658
