Campaign,,,,1,1,2,2,3,3,3,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,1,1,1,1,1,1,1,1,2,2,1,1,2,2,3,3,3,1,1,1,1,2,2,3,3,1,1,1,1,1,1,2,2,2,3,3,1,1,2,2,3,3,1,1,1,1,1,1,3,3,1,1,1,1,2,2,3,3,4,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
,Photo name,,,CAMPAGNE1-150414/01D.JPG,CAMPAGNE1-150414/01G.JPG,CAMPAGNE2-101114/3587_101114_01D.JPG,CAMPAGNE2-101114/3587_101114_01G.JPG,CAMPAGNE3-020415/3587_020415_03D.JPG,CAMPAGNE3-020415/3587_020415_03G.JPG,CAMPAGNE3-020415/3587_020415_03Gb.JPG,CAMPAGNE1-150414/02D.JPG,CAMPAGNE1-150414/02G.JPG,CAMPAGNE1-150414/03Da.JPG,CAMPAGNE1-150414/03Db.JPG,CAMPAGNE1-150414/03Ga.JPG,CAMPAGNE1-150414/03Gb.JPG,CAMPAGNE1-150414/04D.JPG,CAMPAGNE1-150414/04Ga.JPG,CAMPAGNE1-150414/04Gb.JPG,CAMPAGNE1-150414/05D.JPG,CAMPAGNE1-150414/05G.JPG,CAMPAGNE2-101114/4677_101114_04D.JPG,CAMPAGNE2-101114/4677_101114_04G.JPG,CAMPAGNE3-020415/4677_020415_08G.JPG,CAMPAGNE3-020415/4677_020415_P08D.JPG,CAMPAGNE1-150414/06D.JPG,CAMPAGNE1-150414/06G.JPG,CAMPAGNE1-150414/07D.JPG,CAMPAGNE1-150414/07G.JPG,CAMPAGNE1-150414/08D.JPG,CAMPAGNE1-150414/08G.JPG,CAMPAGNE1-150414/10D.JPG,CAMPAGNE1-150414/10G.JPG,CAMPAGNE2-101114/6342_101114_08D.JPG,CAMPAGNE2-101114/6342_101114_08G.JPG,CAMPAGNE1-150414/11D.JPG,CAMPAGNE1-150414/11G.JPG,CAMPAGNE2-101114/4630_101114_02D.JPG,CAMPAGNE2-101114/4630_101114_02G.JPG,CAMPAGNE3-020415/002B_020415_14D.JPG,CAMPAGNE3-020415/4630_020415_04D.JPG,CAMPAGNE3-020415/4630_020415_04G.JPG,CAMPAGNE1-150414/12D.JPG,CAMPAGNE1-150414/12G.JPG,CAMPAGNE1-150414/13D.JPG,CAMPAGNE1-150414/13G.JPG,CAMPAGNE2-101114/1828_101114_05D.JPG,CAMPAGNE2-101114/1828_101114_05G.JPG,CAMPAGNE3-020415/1828_020415_06D.JPG,CAMPAGNE3-020415/1828_020415_06G.JPG,CAMPAGNE1-150414/14D.JPG,CAMPAGNE1-150414/14G.JPG,CAMPAGNE1-150414/15D(b).JPG,CAMPAGNE1-150414/15D.JPG,CAMPAGNE1-150414/15G(d).JPG,CAMPAGNE1-150414/15G.JPG,CAMPAGNE2-101114/0698_101114_03D.JPG,CAMPAGNE2-101114/0698_101114_03G.JPG,CAMPAGNE2-101114/0698_101114_P03D.JPG,CAMPAGNE3-020415/0698_020415_05D.JPG,CAMPAGNE3-020415/0698_020415_05G.JPG,CAMPAGNE1-150414/16D.JPG,CAMPAGNE1-150414/16G.JPG,CAMPAGNE2-101114/4403_101114_07D.JPG,CAMPAGNE2-101114/4403_101114_07G.JPG,CAMPAGNE3-020415/4403_020415_12D.JPG,CAMPAGNE3-020415/4403_020415_12G.JPG,CAMPAGNE1-150414/17D.JPG,CAMPAGNE1-150414/17G.JPG,CAMPAGNE1-150414/18D.JPG,CAMPAGNE1-150414/18G.JPG,CAMPAGNE1-150414/19D.JPG,CAMPAGNE1-150414/19G.JPG,CAMPAGNE3-020415/IMG_4050.JPG,CAMPAGNE3-020415/IMG_4051.JPG,CAMPAGNE1-150414/20D.JPG,CAMPAGNE1-150414/20G.JPG,CAMPAGNE1-150414/21D.JPG,CAMPAGNE1-150414/21G.JPG,CAMPAGNE2-101114/1450_101114_15D.JPG,CAMPAGNE2-101114/1450_101114_15G.JPG,CAMPAGNE3-020415/1450_020415_11D.JPG,CAMPAGNE3-020415/1450_020415_11G.JPG,CAMPAGNE4-141215/IMG_3c.JPG,CAMPAGNE2-101114/0030_101114_06D.JPG,CAMPAGNE2-101114/0030_101114_06G.JPG,CAMPAGNE2-101114/0037_101114_09D.JPG,CAMPAGNE2-101114/0037_101114_09G.JPG,CAMPAGNE2-101114/0002_101114_10D.JPG,CAMPAGNE2-101114/0002_101114_10G.JPG,CAMPAGNE2-101114/0031_101114_11D.JPG,CAMPAGNE2-101114/0031_101114_11G.JPG,CAMPAGNE2-101114/003A_101114_12D.JPG,CAMPAGNE2-101114/003A_101114_12G.JPG,CAMPAGNE2-101114/9E7E_101114_13D.JPG,CAMPAGNE2-101114/9E7E_101114_13G.JPG,CAMPAGNE4-141215/IMG_5cJPG.JPG,CAMPAGNE4-141215/IMG_6c.JPG,CAMPAGNE2-101114/0003_101114_14D.JPG,CAMPAGNE2-101114/0003_101114_14G.JPG,CAMPAGNE2-101114/0039_101114_16D.JPG,CAMPAGNE2-101114/0039_101114_16G.JPG,CAMPAGNE2-101114/002D_101114_17D.JPG,CAMPAGNE2-101114/002D_101114_17G.JPG,CAMPAGNE2-101114/0036_101114_18D.JPG,CAMPAGNE2-101114/0036_101114_18G.JPG,CAMPAGNE2-101114/0038_101114_19D.JPG,CAMPAGNE2-101114/0038_101114_19G.JPG,CAMPAGNE2-101114/002B_101114_20D.JPG,CAMPAGNE2-101114/002B_101114_20G.JPG,CAMPAGNE2-101114/0005_101114_21D.JPG,CAMPAGNE2-101114/0005_101114_21G.JPG,CAMPAGNE2-101114/0032_101114_22D.JPG,CAMPAGNE2-101114/0032_101114_22G.JPG,CAMPAGNE2-101114/0029_101114_23DG.JPG,CAMPAGNE2-101114/0029_101114_23D.JPG,CAMPAGNE2-101114/002A_101114_24D.JPG,CAMPAGNE2-101114/002A_101114_24G.JPG,CAMPAGNE2-101114/002E_101114_25D.JPG,CAMPAGNE2-101114/002E_101114_25G.JPG
,,Row in log,,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,3,4,4,4,4,4,4,5,5,6,6,7,7,9,9,9,9,10,10,10,10,10,10,10,11,11,12,12,12,12,12,12,13,13,14,14,14,14,14,14,14,14,14,15,15,15,15,15,15,16,16,17,17,18,18,18,18,19,19,20,20,20,20,20,20,20,21,21,22,22,23,23,24,24,25,25,26,26,26,26,27,27,28,28,29,29,30,30,31,31,32,32,33,33,34,34,35,35,36,36,37,37
,,,ID in log,1,1,1,1,3,3,3,2,2,3,3,3,3,4,4,4,5,5,4,4,8,8,6,6,7,7,8,8,10,10,8,8,11,11,2,2,4,4,4,12,12,13,13,5,5,6,6,14,14,15,15,15,15,3,3,3,5,5,16,16,7,7,12,12,17,17,18,18,19,19,7,7,20,20,21,21,15,15,11,11,5,6,6,9,9,10,10,11,11,12,12,13,13,4,4,14,14,16,16,17,17,18,18,19,19,20,20,21,21,22,22,23,23,24,24,25,25
1,CAMPAGNE1-150414/01D.JPG,0,1,0,11.42864679,14.73772518,14.14784093,13.52394227,14.40865002,14.09889783,10.89945651,8.304293965,10.24273033,8.796340887,11.11163547,14.02013077,18.29022333,9.500787401,10.27974524,11.89365433,10.27578323,14.201703,15.24701548,13.80442909,13.92415535,12.88110272,13.31987953,11.60417003,16.74754994,8.86259219,13.97997646,12.37202324,12.92097233,16.42477791,15.30370431,12.14013665,14.09008438,13.85738152,15.02466384,13.52741452,13.91353505,13.52770626,16.16622497,13.06691352,10.97080918,11.76590494,14.81418078,15.05834461,13.66928016,13.99469336,15.03189683,13.03697457,12.19641267,12.6153102,13.78160605,19.13047115,14.86265925,15.32338785,13.23084104,13.48469721,12.50243831,13.46952338,12.67904406,15.14657352,14.32764546,15.39799248,13.90039206,15.17143997,14.91002663,12.79935419,13.00037388,14.01025353,13.83016059,13.00055969,13.77044753,15.90675939,18.74954225,10.45555794,15.32089484,14.06083339,16.36658459,14.03124714,13.89529488,13.41527349,15.13121439,15.60221813,15.06774869,15.58809767,15.51182717,16.17302397,14.57006968,15.6151987,14.87133408,15.55747685,15.68624459,19.00887016,13.52391224,13.40055537,13.82471864,16.68224879,15.1284933,16.70994258,14.46041839,15.88764631,16.0692762,16.57529424,13.7422245,14.11094541,17.55014179,14.67725213,15.04372369,15.88505666,15.29630418,15.53280237,15.07177027,14.73932595,16.26581178,15.05113548,15.55239963,17.35499421
1,CAMPAGNE1-150414/01G.JPG,0,1,11.42864679,0,10.88400376,10.27471133,9.916611179,9.916813251,10.67338737,8.306684765,8.843015677,8.088372703,7.424784605,7.104897371,7.976991317,12.17269446,6.210218696,9.955417507,8.408135807,8.703423779,10.42291192,10.36749633,9.855645631,11.15655595,9.096533606,8.974014539,8.16090403,12.53287772,9.344485809,9.408731977,8.367412361,9.044076579,10.87362741,10.48599836,8.299808009,11.61747632,10.16613951,11.2890832,10.0937409,9.916311429,12.07657182,10.88658295,8.269605059,9.161430003,6.982586271,10.09715495,10.44565503,10.04074161,9.709364452,12.26813929,9.88191337,9.561189313,12.23586108,8.969606329,14.42788108,10.44859928,10.86218129,9.682505007,10.09035231,10.90580061,10.11063505,12.18126234,10.66016594,10.285333,11.28077408,9.904889008,12.17172322,10.60940766,9.061935549,9.188619526,11.16710783,12.49381462,11.86454613,10.1015325,11.69697873,12.59266189,9.60064005,9.640711154,10.15059243,11.77089327,10.59819842,9.609644012,9.499270188,10.91761702,10.66161337,10.11685089,10.64105875,10.47212748,11.27171166,10.13898049,10.60288572,10.69943028,11.00615911,10.56941328,14.21919371,9.302454591,9.327819392,10.31633691,12.35860028,10.76469731,11.7172172,10.33846596,11.22022823,11.65200759,11.36540229,10.30578161,9.887216516,13.10259546,10.81457642,10.51841725,10.79442673,11.07618469,11.14048129,10.49207816,10.31620236,11.53401185,10.61400808,10.69449805,12.54396907
2,CAMPAGNE2-101114/3587_101114_01D.JPG,0,1,14.73772518,10.88400376,0,3.466636515,4.272237268,4.418852707,6.279573619,7.783606521,11.24224251,6.359657585,8.190216818,10.05250032,9.565800578,11.80662468,10.24857456,12.9316119,7.590029325,11.76072683,5.22916108,5.739151219,5.022860107,9.267598197,8.726862046,9.92784471,8.304885402,11.90049747,12.21906735,10.9958588,8.328746157,7.625861312,6.269692057,5.209258642,9.886115104,8.651052784,4.994757159,5.497858163,4.967770143,5.572573555,8.617226295,10.97365313,10.40364571,11.78838149,10.80151375,5.701712549,6.037604641,5.696469245,5.342583438,10.78975499,14.36130947,8.069720212,13.87311964,10.82822161,15.4585947,6.219176378,5.984406468,5.558330248,5.507492169,7.004977442,9.100754357,13.73684221,5.474882169,4.423833621,5.794018178,4.96229439,11.48077617,10.8024856,8.155391537,12.29151443,12.42374894,12.87903607,7.876981593,5.645420656,14.88963296,14.76240333,12.43406015,13.61798229,4.910572354,5.593960104,5.443666995,4.242568688,6.788120411,5.699306752,5.263915627,5.909325666,5.328381091,5.339079857,5.352212392,5.194339811,6.100394204,5.64396513,5.772764869,5.243441348,9.898537419,4.543643607,4.741388942,5.174902523,7.256861528,5.225954145,6.63218453,5.119928682,5.868813497,7.079016697,6.286769481,5.216459189,4.945352918,8.996892765,4.733791448,6.067312282,6.009577892,5.488588651,5.703895671,5.42448895,5.009815576,6.043305923,7.135086191,5.407502706,6.869691126
2,CAMPAGNE2-101114/3587_101114_01G.JPG,0,1,14.14784093,10.27471133,3.466636515,0,3.005950314,3.317727243,4.48351395,7.160836208,10.51523706,5.621652458,7.635541773,9.351098013,8.852262332,12.04204505,9.64957508,12.69810835,7.127010753,11.12929868,4.546831454,4.989271306,3.143664007,7.985413881,8.462048253,8.834692063,7.876324549,11.13668743,11.60050589,10.09137072,7.124137228,6.136054311,6.987235561,4.46925996,9.243560124,7.9802274,3.937202331,4.433314292,4.240232416,4.096765168,6.863342999,10.92182117,9.793404367,11.05240455,10.19720678,5.545038525,5.440799456,3.950808879,3.400925347,10.4206958,13.39680077,7.721760776,13.15994514,9.654650764,14.74394403,5.394465982,5.013801924,4.129508656,3.977747534,4.886268319,8.088677808,12.51154351,5.916755219,3.771305534,5.267442978,3.173976185,10.60161431,9.536631236,7.689665831,10.98266474,11.48898879,11.73461388,5.784285135,4.035989627,14.15712079,13.76474499,11.6983086,12.83508168,4.43949284,6.448603275,3.73301818,2.433277837,4.877185688,5.41962655,5.23273993,5.47006373,5.197583266,5.707779366,6.033692657,4.403647889,5.582742048,4.91493722,5.140297404,5.679965489,11.32029007,2.321569935,2.793499603,4.188093212,6.912640994,5.139359004,6.134242967,4.502345957,5.136281535,5.768901519,5.744357643,4.135212217,3.767775682,7.555000266,3.819352453,5.171995151,5.408925013,5.866365125,5.068960301,4.164799664,4.482626789,6.233791562,4.405618528,5.306457496,7.924311531
3,CAMPAGNE3-020415/3587_020415_03D.JPG,0,3,13.52394227,9.916611179,4.272237268,3.005950314,0,3.799167479,4.053305568,7.652386659,10.33527088,5.743236443,7.266517295,9.645268685,9.352381344,12.17339342,8.96885105,12.98005121,7.274923439,11.51627062,4.395485789,5.333868233,2.400555897,8.38176138,8.579999537,9.3585373,7.855829952,11.58228701,11.68780379,10.65516711,7.398957613,6.634736021,7.29070465,5.044052146,8.979338378,8.931703166,3.534001415,4.523415336,4.024790034,3.301131674,7.157412478,10.90480144,10.27569252,11.59828918,10.98215411,5.317351699,5.587908408,2.444289153,2.953765751,10.37071925,14.07854425,7.883061867,13.53756032,10.29385324,15.11327693,4.763575473,5.425144054,3.595038388,2.313248852,4.632628025,7.825427984,13.10537251,5.47650871,4.163025289,5.008392824,3.417426414,10.83289022,9.910587185,7.473023949,11.5859166,11.64944834,12.12992508,5.26646315,2.393957675,14.20275152,14.0980043,11.89262129,13.27595273,3.469388654,6.959661798,4.734822532,3.092729934,5.014333658,5.11714116,5.666628302,5.395716145,5.709978438,5.739593308,6.315120443,4.191105518,5.907197013,4.937245596,5.752911176,5.943070977,11.57468325,3.419507718,3.693163592,3.559629723,7.640066512,5.130196713,6.788419995,3.86106004,5.936603319,5.631637066,6.224577149,3.203679523,3.892483358,7.914352526,4.261829186,4.884441667,5.88329879,5.516611354,5.884978161,4.847645384,4.675994876,6.263051483,4.891191846,5.768291414,8.337258138
3,CAMPAGNE3-020415/3587_020415_03G.JPG,0,3,14.40865002,9.916813251,4.418852707,3.317727243,3.799167479,0,5.651309031,7.73071756,10.68718449,5.678833815,7.324159896,9.471420298,8.478882841,11.86409724,9.386555546,12.59707809,6.756795631,11.15348522,3.781772552,3.575439189,3.554328589,9.012153643,7.954901973,8.191682212,7.391469321,10.92648032,11.59839667,9.415095529,6.723073488,6.441623629,5.304255204,3.878418785,8.94695468,8.498953001,3.99491041,4.193853584,5.322121174,4.32704796,8.343128825,10.51983051,9.597656693,11.39443747,10.41490694,4.020258791,3.71334073,4.436943107,3.989147674,10.45216277,13.84222399,7.417334568,13.88250303,9.278706059,14.34502702,4.150128612,3.663441301,4.521620617,4.414843143,6.297434103,8.037640859,13.0207985,4.630513009,3.121234568,5.556165462,4.474083483,11.13605687,9.593577019,8.018949209,11.39926578,11.56305517,12.14835467,6.608627984,3.884973509,13.80871863,13.70299893,11.72183663,12.66189653,3.63140245,5.868181863,4.262815084,3.66401834,6.32663152,4.941277711,4.301327116,4.731758552,4.399386192,4.340708749,4.638174172,4.140689173,4.081614664,4.930904831,4.667127098,4.721844673,9.14154486,4.170389447,4.83002125,4.524785817,5.96793279,4.363489495,5.232083495,3.980549475,4.600708255,5.898971166,4.497455284,4.076873197,3.538197013,7.725408517,3.818728858,4.744731043,4.638311502,5.653188284,4.80627862,4.39856775,4.462182091,5.980375871,5.082574473,5.027217907,6.689692782
3,CAMPAGNE3-020415/3587_020415_03Gb.JPG,0,3,14.09889783,10.67338737,6.279573619,4.48351395,4.053305568,5.651309031,0,7.95432496,10.8101598,7.041448059,7.961919482,10.29532742,10.52871368,13.74057136,10.032237,13.31858913,8.714485482,12.03631797,5.785622153,6.746041953,3.760029701,8.190409726,10.13690569,10.42250948,9.240207944,12.21441076,12.05828997,11.5918929,8.410348802,7.229585724,9.664894185,6.756101933,9.892846924,9.845730496,5.271605691,5.757271718,5.564682299,5.092198755,4.395612783,12.15406369,11.18474908,12.3071933,11.08807619,6.944049111,6.722767546,4.456985289,4.15050878,11.35911593,14.28142586,9.425387968,14.55229545,11.01228486,15.75618641,6.846032816,6.655981115,4.79292957,3.770732287,3.381252157,8.474050901,13.22132341,7.240313775,5.296788822,6.508301614,4.067352332,11.37986799,10.49118796,9.053505972,12.07759829,12.31511234,12.3315359,4.326669921,4.35953201,14.77653986,14.65027204,12.61787938,13.76466097,5.536788413,9.216602517,5.635870892,4.170083586,4.801560386,7.006587777,7.46761519,7.318164869,7.59003824,8.360046502,8.4507797,6.562736081,7.682899381,7.070283493,7.601121093,8.483209094,13.99001936,4.279093102,4.280466389,5.050266824,9.419827032,7.17499417,8.755454147,6.1852494,7.68787979,7.642333058,8.186326413,5.157723854,5.585315827,9.539149229,5.996911037,6.776577347,7.722600662,7.77613604,7.375280465,6.453272367,6.527036364,9.120467879,5.460607261,7.865428488,10.81549156
1,CAMPAGNE1-150414/02D.JPG,1,2,10.89945651,8.306684765,7.783606521,7.160836208,7.652386659,7.73071756,7.95432496,0,8.9457306,6.254109222,7.138733694,8.593820588,8.390834056,12.69435166,8.550910792,11.65432898,7.823258724,8.538320454,8.414416371,8.935689561,7.373233411,8.92797201,7.844620764,8.540267364,7.453668367,11.25940145,9.006141227,9.073876763,7.144677034,6.326375452,10.08562861,8.687181507,8.312392415,8.574914313,7.795957618,8.148121309,7.475753793,7.96289741,9.460457828,10.00247575,8.29350727,9.496659232,9.232992585,8.703911531,8.578776182,8.038072767,8.085596771,9.619846077,10.73304915,6.916283437,10.18340106,8.902190047,14.5125875,8.98495087,8.747805072,7.372412963,8.08499102,8.284775303,8.439537934,10.17066527,9.198047579,7.76125299,9.293034089,7.0003844,9.872670244,9.28596993,7.698009096,9.444429891,10.66017755,9.127127849,9.129075909,8.228566181,12.09226279,12.84193219,8.794366719,11.58235949,7.976608025,9.905866319,8.070050626,7.014350373,7.382699054,8.970958988,9.057442416,8.912300143,9.128799195,9.00275503,9.609604012,8.247270298,9.031558954,8.801575403,9.278784988,9.170456477,12.76247699,7.083518462,7.085020076,7.61437155,10.44696522,8.897068188,10.08018472,8.126628215,9.238604502,9.87673705,9.912411374,7.907649483,7.900380149,11.59673075,8.271097235,8.92860265,9.406980914,8.955190641,9.358631605,8.647595217,8.420766634,9.664606759,8.603302698,9.311149378,10.80481656
